Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
83.033751	0.078097	0.946538	0.949754	101.042876	8.954033	0.283478	34.119846	34.119846	34.119846	7.841013	10.703701	2.830000	0.720192	0.316059	-36.372200
84.229813	0.092907	0.991155	0.995500	101.469831	8.617024	0.265911	30.698567	30.698567	30.698567	8.051085	11.019537	2.830000	0.771817	0.328420	-33.857947
85.443104	0.111638	1.040783	1.046753	101.894274	8.323015	0.247747	27.134798	27.134798	27.134798	8.267518	11.397299	2.830000	0.822848	0.340021	-31.226888
86.673872	0.135641	1.096247	1.104607	102.314655	8.069748	0.229032	23.422726	23.422726	23.422726	8.488408	11.843340	2.830000	0.872340	0.350692	-28.481948
87.922369	0.166849	1.158468	1.170421	102.729191	7.855744	0.209853	19.557360	19.557360	19.557360	8.711223	12.365217	2.830000	0.919204	0.360246	-25.627425
89.188849	0.208058	1.228382	1.245878	103.135864	7.680255	0.190342	15.534888	15.534888	15.534888	8.932722	12.971879	2.830000	0.962228	0.368477	-22.669608
90.473572	0.263365	1.306740	1.333015	103.532424	7.543232	0.170706	11.353090	11.353090	11.353090	9.148920	13.673861	2.830000	1.000105	0.375171	-19.617485
91.776802	0.338808	1.393595	1.434189	103.916419	7.445322	0.151252	7.011781	7.011781	7.011781	9.355084	14.483482	2.830000	1.031486	0.380104	-16.483524
93.098803	0.443217	1.487162	1.551802	104.285239	7.387874	0.132445	2.513272	2.513272	2.513272	9.545818	15.415035	2.830000	1.055052	0.383060	-13.284538
94.439848	0.588999	1.581327	1.687458	104.636178	7.372963	0.114981	-2.137203	-2.137203	-2.137203	9.715225	16.484925	2.830000	1.069609	0.383835	-10.042605
95.800210	0.791666	1.660721	1.839763	104.966530	7.403428	0.099881	-6.931145	-6.931145	-6.931145	9.857185	17.711712	2.830000	1.074204	0.382255	-6.786007
97.180167	1.064262	1.692723	1.999491	105.273698	7.482909	0.088535	-11.856585	-11.856585	-11.856585	9.965728	19.115954	2.830000	1.068238	0.378195	-3.550184
98.580001	1.398929	1.621385	2.141470	105.555323	7.615889	0.082440	-16.898084	-16.898084	-16.898084	10.035486	20.719720	2.830000	1.051581	0.371592	-0.378638
100.000000	1.733509	1.385182	2.218960	105.809418	7.807710	0.082418	-22.036984	-22.036984	-22.036984	10.062178	22.545554	2.830000	1.024649	0.362462	2.676191
